City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,tezu,27.9167,96.1667,19.61,37,48,2.05,IN,1675260124
84,tiksi,71.6872,128.8694,-20.61,97,100,4.71,RU,1675259924
85,faanui,-16.4833,-151.75,27.81,71,100,8.36,PF,1675259957
86,steinbach,50.1667,8.5667,7.57,63,75,10.8,DE,1675260126
87,chara,56.9064,118.2631,-24.95,75,31,1.73,RU,1675260127
88,new norfolk,-42.7826,147.0587,9.72,59,82,1.34,AU,1675259886
89,balaipungut,1.05,101.2833,24.5,89,100,0.91,ID,1675260128
90,hobart,-42.8794,147.3294,9.92,81,40,4.12,AU,1675259899
91,dharchula,29.85,80.5333,10.64,29,0,4.77,IN,1675260128
92,hermanus,-34.4187,19.2345,24.33,67,5,4.91,ZA,1675259867
93,praia da vitoria,38.7333,-27.0667,17.09,72,20,2.57,PT,1675260129
94,castro,-24.7911,-50.0119,18.73,97,99,2.06,BR,1675259914
95,mackay,-21.15,149.2,25.93,88,98,3.73,AU,1675260132
96,saint-philippe,-21.3585,55.7679,28.77,78,55,4.79,RE,1675259945
97,the pas,53.8251,-101.2541,-28.99,76,100,1.03,CA,1675260133
98,port blair,11.6667,92.75,27.02,78,40,2.06,IN,1675260133
99,miles city,46.4083,-105.8406,-5.46,68,75,4.12,US,1675260134
100,gangtok,27.3333,88.6167,9.32,58,0,2.43,IN,1675260110
101,phu ly,20.5411,105.9139,19.84,83,46,2.52,VN,1675259835
102,harper,4.375,-7.7169,29.87,63,42,4.04,LR,1675260135
103,roald,62.5833,6.1333,2.08,75,0,4.12,NO,1675260135
104,tuktoyaktuk,69.4541,-133.0374,-33.56,100,20,0.76,CA,1675259870
105,sinjar,36.3209,41.8754,10.63,58,100,7.2,IQ,1675260136
106,busselton,-33.65,115.3333,18.45,51,0,8.21,AU,1675259910
107,bichura,50.5881,107.6022,-19.67,92,56,1.43,RU,1675260137
108,buchanan,5.8808,-10.0467,30.31,63,9,4.79,LR,1675260138
109,kapaa,22.0752,-159.319,20.05,82,0,2.57,US,1675259936
110,lompoc,34.6391,-120.4579,6.99,93,0,4.12,US,1675259962
111,wainwright,52.839,-110.8572,-15.3,97,100,1.91,CA,1675260139
112,conde,-7.2597,-34.9075,29.7,62,75,4.63,BR,1675260140
113,broken hill,-31.95,141.4333,22.59,34,0,5.7,AU,1675260140
114,atuona,-9.8,-139.0333,25.88,71,15,8.99,PF,1675259923
115,asau,46.4333,26.4,3.51,76,50,3.07,RO,1675260141
116,camopi,3.1655,-52.3158,26.64,76,60,1.9,GF,1675260143
117,sao sebastiao,-23.76,-45.4097,28.03,71,100,1.36,BR,1675259877
118,hermosillo,29.0667,-110.9667,11.03,82,75,0.0,MX,1675260144
119,namatanai,-3.6667,152.4333,25.77,84,100,2.77,PG,1675260144
120,fukuma,33.7667,130.4667,11.27,55,100,6.21,JP,1675260145
121,half moon bay,37.4636,-122.4286,8.12,66,20,2.06,US,1675260099
122,kwinana,-32.25,115.7667,26.56,36,0,1.79,AU,1675260146
123,vostok,46.4856,135.8833,-24.69,98,99,2.19,RU,1675260147
124,nosy varika,-20.5833,48.5333,24.67,85,100,3.61,MG,1675260147
125,yellowknife,62.456,-114.3525,-35.25,75,0,6.17,CA,1675259642
126,bako,5.7833,36.5667,26.77,36,55,2.22,ET,1675260148
127,pishva,35.308,51.7267,10.16,44,0,5.79,IR,1675260149
128,ketchikan,55.3422,-131.6461,5.99,98,100,2.02,US,1675260149
129,pleshanovo,52.8333,53.4833,-17.89,91,16,2.37,RU,1675260150
130,tadine,-21.55,167.8833,25.6,85,85,2.64,NC,1675260151
131,along,28.1667,94.7667,16.31,60,5,0.98,IN,1675260151
132,victoria,22.2855,114.1577,21.03,83,4,4.92,HK,1675259869
133,ushuaia,-54.8,-68.3,11.81,71,75,4.12,AR,1675259875
134,tshikapa,-6.4167,20.8,31.23,44,21,2.17,CD,1675260153
135,port moresby,-9.4431,147.1797,24.68,94,75,2.06,PG,1675259960
136,jamestown,42.097,-79.2353,-7.38,94,100,3.13,US,1675259741
137,lasa,46.6166,10.7002,8.16,66,40,2.99,IT,1675260154
138,constitucion,-35.3333,-72.4167,18.32,59,0,1.31,CL,1675260155
139,labytnangi,66.6572,66.4183,-20.01,100,72,2.19,RU,1675260156
140,quatre cocos,-20.2078,57.7625,29.06,73,100,6.35,MU,1675260157
141,manokwari,-0.8667,134.0833,26.14,80,82,1.02,ID,1675260157
142,lata,40.1629,-8.3327,16.38,50,1,1.47,PT,1675260158
143,zyryanka,65.75,150.85,-32.13,96,97,1.4,RU,1675260159
144,kavaratti,10.5669,72.642,27.05,76,78,6.05,IN,1675259990
145,meadow lake,34.8014,-106.5436,-0.89,65,0,1.58,US,1675259995
146,san quintin,30.4833,-115.95,10.79,67,9,0.92,MX,1675260160
147,east london,-33.0153,27.9116,23.52,78,20,11.32,ZA,1675259929
148,bonthe,7.5264,-12.505,30.8,58,0,5.92,SL,1675259966
149,tabory,58.5198,64.5495,-6.43,96,65,2.32,RU,1675260161
150,nizwa,22.9333,57.5333,22.56,30,19,3.05,OM,1675260161
151,batamshinskiy,50.5594,58.2747,-15.8,86,10,4.33,KZ,1675260162
152,okhotsk,59.3833,143.3,-18.9,96,100,5.27,RU,1675260162
153,cidreira,-30.1811,-50.2056,27.69,68,0,3.58,BR,1675259877
154,sehithwa,-20.4667,22.7167,29.41,45,93,1.36,BW,1675260163
155,viedma,-40.8135,-62.9967,22.11,43,0,2.66,AR,1675259821
156,pontianak,-0.0333,109.3333,24.99,94,75,2.06,ID,1675260164
157,piracanjuba,-17.3028,-49.0167,26.16,69,93,2.11,BR,1675260165
158,otradnoye,59.7775,30.8181,0.05,93,99,2.46,RU,1675260165
159,kavieng,-2.5744,150.7967,28.01,75,100,4.66,PG,1675259974
160,aquiraz,-3.9014,-38.3911,28.05,79,100,5.1,BR,1675260166
161,verkhnyaya toyma,62.2349,44.9985,-3.14,90,94,3.51,RU,1675260167
162,camacha,33.0833,-16.3333,16.68,55,40,8.23,PT,1675260168
163,walvis bay,-22.9575,14.5053,24.53,53,0,5.14,NA,1675260168
164,beloha,-25.1667,45.05,24.55,68,85,8.45,MG,1675259830
165,taksimo,56.3444,114.8794,-23.5,85,49,2.22,RU,1675260169
166,suluq,31.6682,20.2521,14.69,54,89,7.95,LY,1675260170
167,sao joao da barra,-21.6403,-41.0511,30.05,75,85,5.24,BR,1675259884
168,qui nhon,13.7667,109.2333,22.91,87,98,3.15,VN,1675260171
169,sawang daen din,17.4753,103.4575,24.22,28,49,1.09,TH,1675260171
170,port elizabeth,-33.918,25.5701,27.28,71,0,12.35,ZA,1675259919
171,kencong,-8.2833,113.3667,24.13,91,100,0.85,ID,1675260172
172,chokurdakh,70.6333,147.9167,-31.8,100,74,0.57,RU,1675259911
173,praia,14.9215,-23.5087,24.3,60,20,9.77,CV,1675260173
174,tiarei,-17.5333,-149.3333,25.0,75,9,8.55,PF,1675260173
175,winton,37.3894,-120.6133,1.53,95,100,2.06,US,1675260174
176,norman wells,65.282,-126.8329,-40.98,66,20,0.0,CA,1675259940
177,invermere,50.5167,-116.0354,-12.02,88,99,0.84,CA,1675260176
178,umm kaddadah,13.6017,26.6876,31.56,11,80,7.84,SD,1675260176
179,dingle,10.9995,122.6711,24.11,91,16,3.43,PH,1675259931
180,atar,20.5169,-13.0499,27.8,7,87,1.02,MR,1675260178
