end_station_name,zipcode
Manhattan Av & Leonard St,11222
Cadman Plaza E & Red Cross Pl,11201
11 Ave & W 41 St,10018
McKibbin St & Bogart St,11206
India St Pier,11222
Morris Ave & E 163 St,10456
W 87 St & West End Ave,10024
Lewis Ave & Kosciuszko St,11221
Brooklyn Bridge Park - Pier 2,11201
Decatur Ave & E 197 St,10458
Greenwich St & Hubert St,10013
W Broadway & Spring St,10012
E 20 St & 2 Ave,10010
W 11 St & 6 Ave,10014
E 15 St & 3 Ave,10003
Smith St & 9 St,11231
45 Rd & 11 St,11101
43 St & 35 Ave,11101
E 53 St & Lexington Ave,
Broadway & W 61 St,10034
Washington St & Gansevoort St,10014
Little West St & 1 Pl,10280
Mercer St & Spring St,10012
Vernon Blvd & 47 Rd,11101
Cliff St & Fulton St,10038
8 Ave & W 24 St,10001
2 Ave & E 55 St,10022
Verona Pl & Fulton St,11216
3 St & 7 Ave,11215
Onderdonk Ave & Dekalb Ave,11385
Greene St & Prince St,10012
Cooper Square & Astor Pl,
W 100 St & Manhattan Ave,10025
Broadway	& W 48 St,10019
Berkeley Pl & 7 Ave,11217
Hancock St & Stuyvesant Ave,11233
65 St & 35 Ave,11377
W Tremont Ave & Montgomery Ave,10453
34 Ave & 13 St,11101
Inwood Ave & W 170 St,10452
Icahn Stadium,10454
Grand St & Samuel Dickstein Plaza,10002
Kingsland Ave & Nassau Ave,11222
5 Ave & E 93 St,10129
Dock St & Front St,11201
Pike St & E Broadway,10002
Sands St Gate,11251
Boston Rd & E 167 St,10456
E 97 St & Madison Ave,10129
West St & Chambers St,10282
1 Ave & E 6 St,10009
E 66 St & Madison Ave,10021
E 75 St & 3 Ave,10021
Central Park West & W 68 St,10023
E 74 St & 1 Ave,10021
9 Ave & W 45 St,10019
E 12 St & 3 Ave,10009
Rogers Ave & Sterling St,11225
Lexington Ave & E 29 St,10037
E 51 St & 2 Ave,10022
Washington Ave & Greene Ave,11238
Devoe St & Morgan Ave,11211
E 58 St & 1 Ave (NW Corner),10022
E 163 St & Union Ave,10459
E 91 St & Park Ave,10128
W 106 St & Central Park West,10025
E 26 St & 3 Ave,10016
Crescent St & Broadway,11106
Cherry St,10002
Frederick Douglass Blvd & W 117 St,10026
West St & Liberty St,10281
Bayard St & Leonard St,11211
Vesey Pl & River Terrace,10282
University Pl & E 8 St,10012
W 10 St & Washington St,10014
South St & Gouverneur Ln,10041
6 Ave & W 33 St,10001
W 53 St & 10 Ave,10019
Adam Clayton Powell Blvd & W 126 St,10039
2 Ave & E 31 St,10016
Broadway & Hancock St,11237
Shore Blvd & Astoria Park,11102
Linden St & Knickerbocker Ave,11237
Canal St & Rutgers St,10002
Madison St & Forest Ave,11385
Monroe St & Classon Ave,11221
28 St & 36 Ave,11106
Broadway & W 58 St,10019
8 Ave & W 33 St,10122
W 104 St & Amsterdam Ave,10025
W 51 St & Rockefeller Plaza,10111
W 49 St & 8 Ave,10019
Columbia St & W 9 St,11231
W 63 St & Broadway,10107
W 51 St & 6 Ave,10111
Willoughby Ave & Myrtle Ave,11221
E 16 St & Irving Pl,10003
Madison Ave & E 120 St,10037
6 Ave & W 34 St,10001
Willoughby St & Ashland Pl,11201
Pearl St & Hanover Square,10038
1 Ave & E 16 St,10009
Greenwich Ave & 8 Ave,10014
9 Ave & W 22 St,10019
Centre St & Worth St,10013
Greenwich St & Perry St,10014
W 100 St & Broadway,10025
E 25 St & 2 Ave,10010
Broadway & W 36 St,10120
35 St & 30 Ave,11103
Division Ave & Marcy Ave,11249
Willoughby Ave & Hall St,11205
W 95 St & Broadway,10025
1 Ave & E 18 St,10010
Columbia St & Rivington St,10002
Pier 40 - Hudson River Park,10282
S 4 St & Wythe Ave,11211
Washington Park,11205
6 Ave & Broome St,10005
India St & Manhattan Ave,11222
Reade St & Broadway,10013
7 Ave S & Bleecker St,10014
Grand Army Plaza & Central Park S,10153
Bridge St & York St,11201
12 Ave & W 40 St,10199
W 22 St & 10 Ave,10011
Kenmare St & Elizabeth St,10012
Riverside Dr & W 145 St,10031
Lafayette Ave & Ft Greene Pl,11221
Ogden Ave & W 165 St,10452
Lafayette Ave & St James Pl,11205
Boston Rd & Prospect Ave,10456
Spring St & Hudson St,10013
Forsyth St & Broome St,10002
E 9 St & Avenue C,10009
Riverside Dr & W 82 St,10024
E 39 St & 2 Ave,10016
12 Ave & 36 St,11218
Center Blvd & 48 Ave,11109
Clark St & Henry St,11201
Henry St & Atlantic Ave,11231
Broadway & W 53 St,10019
E 163 St & Tiffany St,10459
Delancey St & Eldridge St,10002
Steinway St & Broadway,11103
39 Ave & 45 St,11104
Hicks St & Montague St,11201
Seaman Ave & Beak St,10034
Suffolk St & Stanton St,10002
Newtown Ave & 23 St,11102
Franklin Ave & E 169 St,10456
Driggs Ave & N Henry St,11211
E 2 St & Avenue C,10009
Knickerbocker Ave & Thames St,11237
W 37 St & 10 Ave,10018
W 218 St & Broadway,10034
Broadway & W 25 St,10019
Broadway & Morris St,10006
Fairview Ave & Linden St,11385
Congress St & Hicks St,11201
W 44 St & 5 Ave,10036
7 Ave & Central Park South,10019
E 51 St & 1 Ave,10022
5 Ave & W 131 St,10037
Great Jones St,10012
Broadway & W 56 St,10019
University Ave & Brandt Pl,10453
E 11 St & 1 Ave,10009
Henry St & Degraw St,11231
Forsyth St\t& Grand St,10002
Morton St & West St,10014
W 55 St & 6 Ave,10019
E 65 St & 2 Ave,10065
Forsyth St & Canal St,10002
Grand Concourse & East Mount Eden Ave,10453
W 204 St & Vermilyea Ave,10034
Degraw St & Hoyt St,11217
Amsterdam Ave & W 73 St,10023
Hudson St & W 13 St,10014
E 82 St & East End Ave,10028
Ave D & E 8 St,10009
36 St & Ditmars Blvd,11105
Atlantic Ave & Fort Greene Pl,11208
8 Ave & W 16 St,10011
Metropolitan Ave & Bedford Ave,11249
W 84 St & Columbus Ave,10024
Monroe St & Tompkins Ave,11216
Carroll St & Franklin Ave,11225
E 77 St & 3 Ave,10075
W 42 St & 8 Ave,10018
E 7 St & Ave B,10009
E 4 St & 2 Ave,10009
Stanhope St & Fairview Ave,11237
28 St & 41 Ave,11101
Eastern Pkwy & Washington Ave,11238
E 91 St & 2 Ave,10128
West End Ave & W 94 St,10025
23 Rd & 31 St,11105
E 1 St & 1 Ave,10012
Lispenard St & Broadway,10013
Market St & Cherry St,10002
W 50 St & 9 Ave,10019
W 163 St & Riverside Dr,10032
Water St & Main St,11201
Pearl St & Peck Slip,10038
Berkeley Pl & 6 Ave,11217
Lexington Ave & E 24 St,10037
1 Ave & E 94 St,10128
E 40 St & 5 Ave,10016
W 27 St & 7 Ave,10001
E 19 St & 3 Ave,10003
MacDougal St & Washington Sq,10014
E 5 St & Avenue C,10009
E 27 St & 1 Ave,10016
Division Ave & Hooper St,11249
31 Ave & 14 St,11106
W 39 St & 9 Ave,10018
E 14 St & Avenue B,10009
Thompson St & Bleecker St,10012
W 42 St & Dyer Ave,10036
5 Ave & 3 St,11215
E 3 St & 1 Ave,10009
W 147 St & Adam Clayton Powell Blvd,10039
E 7 St & Ave C,10009
W 74 St & Columbus Ave,10023
W 87 St & Amsterdam Ave,10024
E 51 St & Lexington Ave,10022
Stanton St & Chrystie St,10002
Avenue D & E 10 St,10009
Mercer St & Bleecker St,10012
E 40 St & Park Ave,10016
Walker St & Baxter St,10013
Putnam Ave & Throop Ave,11221
Lexington Ave & E 26 St,10037
Bushwick Ave & Stagg St,11211
8 Ave & W 38 St,10018
Morton St & Washington St,10014
Wards Meadow Comfort Station,10035
6 Ave & 12 St,11215
Wythe Ave & Metropolitan Ave,11211
W 67 St & Broadway,10023
W 76 St & Columbus Ave,10023
Gansevoort St & Hudson St,10011
E 10 St & Avenue A,10009
9 St & 44 Rd,11101
Lexington Ave & E 128 St,10035
Soissons Landing,10004
Lenox Ave & W 140 St,10037
W 116 St & Broadway,10027
E 12 St & Ave C,10009
Amsterdam Ave & W 66 St,10023
Howard St & Lafayette St,10013
E 58 St & 1 Ave (NE Corner),10022
E 2 St & 2 Ave,10012
Bedford Ave & Nassau Ave,11249
Central Park West & W 85 St,10024
1 Pl & Clinton St,11231
W 47 St & 9 Ave,10036
39 Dr & 52 St,11377
Sullivan St & Washington Sq,10012
Sharon St & Olive St,11211
E 53 St & 3 Ave,10035
King St & Varick St,10014
Carlton Ave & Dean St,11238
W 15 St & 6 Ave,10019
31 St & Newtown Ave,11101
Douglass St & 4 Ave,11217
44 St & 48 Ave,11377
Central Park West & W 76 St,10024
E 84 St & Park Ave,10028
Market St & Henry St,10002
W 37 St & 5 Ave,10018
Congress St & Clinton St,11201
W 20 St & 7 Ave,10011
1 Ave & E 62 St,10065
Bergen St & Smith St,11213
34 St & 38 Ave,11101
MacDougal St & Prince St,10012
36 St & 3 Ave,11232
31 St & Hoyt Ave N,11101
W 180 St & Ft Washington Ave,10033
Grand St & Havemeyer St,11211
E 53 St & Madison Ave,10055
E 81 St & York Ave,10075
Central Park West & W 72 St,10023
Perry St & Greenwich Ave,10014
E 20 St & FDR Dr,10010
E 17 St & 2 Ave,10003
61 St & Woodside Ave,11377
E 156 & Brook Ave,10455
E 5 St & Ave A,10009
W 20 St & 8 Ave,10011
Broadway & Roebling St,11207
Schermerhorn St & Court St,11217
W 89 St & Columbus Ave,10024
Park Ave & E 124 St,10037
Nassau St\t& Duffield St,11201
Cadman Plaza E & Tillary St,11201
E 128 St & Madison Ave,10035
31 Ave & Steinway St,11103
W 70 St & Amsterdam Ave,10023
Carroll St & Smith St,11231
Greene Ave & Nostrand Ave,11216
Lawrence St & Willoughby St,11201
Meserole Ave & Manhattan Ave,11222
W 56 St & 10 Ave,10019
Carroll St & 6 Ave,11215
E 167 St & Clay Ave,10456
Waterbury St & Stagg St,11211
Sterling St & Bedford Ave,11225
Riverside Dr & W 104 St,10025
E 41 St & Madison Ave (SE corner),10017
Sterling Pl & Bedford Ave,11216
Dock 72 Way & Market St,11251
South St & Whitehall St,10004
Union Ave & N 12 St,11211
W 24 St & 7 Ave,10011
E 81 St & Park Ave,10028
Classon Ave & St Marks Ave,11238
Dahill Rd & 12 Ave,11218
Douglass St & 3 Ave,11217
E 5 St & Cooper Sq,10003
E 182 St & Morris Ave,10453
62 St & 43 Ave,11377
W 160 St & St. Nicholas Ave,10032
Allen St & Hester St,10002
Prospect Park SW & 10 Ave,11215
Kent Ave & N 7 St,11249
Greene Av & Myrtle Av,11237
Jackson St & Leonard St,11211
Broadway & Moylan Pl,10115
W 22 St & 8 Ave,10011
S 3 St & Bedford Ave,11211
Washington Pl & 6 Ave,10011
Lexington Ave & E 36 St,10035
St Mary's St & Jackson Ave,10454
W 111 St & 5 Ave,10026
Albemarle Rd & McDonald Ave,11218
Madison St & Montgomery St,10002
W 52 St & 6 Ave,
Lewis Ave & Decatur St,11213
E 76 St & Park Ave,10021
Adams St & Prospect St,11201
Kingston Ave & Herkimer St,11225
Plaza St East & Flatbush Ave,11238
S 5 Pl & S 5 St,11249
Clermont Ave & Lafayette Ave,11205
Avenue D & E 3 St,10009
Roebling St & N 4 St,11249
E 35 St & Madison Ave,10016
E 39 St & Lexington Ave,10016
Adam Clayton Powell Blvd & W 132 St,10027
Driggs Ave & N 9 St,11211
E 56 St & 3 Ave,10022
Van Brunt St & Van Dyke St,11231
Graham Ave & Herbert St,11211
Cathedral Pkwy & Broadway,10025
5 Ave & E 29 St,10035
