end_station_name,zipcode
N 6 St & Bedford Ave,11249
E 95 St & 3 Ave,10128
Amsterdam Ave & W 79 St,10024
Hoe Ave & Jennings St,10460
2 Ave & 32 St,11232
E 50 St & Park Ave,10017
Amsterdam Ave & W 152 St,10031
50 St & 7 Ave,11220
Ocean Pkwy & Church Ave,11218
Hamilton Pl & W 140 St,10031
45 Ave & 21 St,11101
Rutgers St & Henry St,10002
34 Ave & 21 St,11101
Broadway & Battery Pl,10275
E 43 St & 2 Ave,10017
DeKalb Ave & Vanderbilt Ave,11221
Bridge St & Water St,11201
Withers St & Kingsland Ave,11211
President St & 4 Ave,11215
E 68 St & 3 Ave,10021
E 149 St & Eagle Ave,10455
65 Pl & Woodside Ave,11378
Frost St & Meeker Ave,11211
Isham St & Broadway,10034
Bank St & Washington St,10014
Hudson St & Reade St,10014
Union Ave & Wallabout St,11211
Calyer St & Guernsey St,11222
Jerome Ave & W 195 St,10468
Edgecombe Ave & W 141 St,10030
Suydam St & Knickerbocker Ave,11237
Crescent St & Ditmars Blvd,11102
Wadsworth Ave & W 179 St,10033
Nagle Ave & Thayer St,10040
E 150 St & Gerard Ave,10451
E 106 St & Madison Ave,10029
Clinton Ave & Flushing Ave,11251
Columbia St & Degraw St,11231
Popham Ave & W 174 St,10453
Grand Concourse & E 167 St,10456
Goulden Ave & W 197 St,10468
West End Ave & W 107 St,10025
E 88 St & 1 Ave,10128
John St & William St,10038
E 132 St & Madison Ave,10037
President St & Henry St,11231
59 St & 4 Ave,11220
21 St & Hoyt Ave S,11106
Barrow St & Hudson St,10014
Myrtle Ave & Grove St,11237
Irving Ave & Jefferson St,11237
Fulton St & Utica Ave,11207
Halsey St & Tompkins Ave,11233
Front St & Washington St,11201
34th Ave & Vernon Blvd,11101
Underhill Ave & Lincoln Pl,11238
E 67 St & Park Ave,10021
Bulova Ave & Brooklyn Queens Expressway W,11377
St Nicholas Ave & W 137 St,10030
Central Ave & Weirfield St,11221
Intervale Ave & Kelly St,10459
Pulaski St & Marcus Garvey Blvd,11221
24 St & 5 Ave,11232
Crescent St & 35 Ave,11106
Rivington St & Chrystie St,10002
Lefferts Pl & Franklin Ave,11216
Church Ave & McDonald Ave,11218
35 Ave & 37 St,11101
Division St & Bowery,10002
Hudson Blvd E & W 36 St,10199
Sedgwick Ave & W Burnside Ave,10453
Catherine St & Monroe St,10038
Church Ave & Story St,11218
E 6 St & Avenue B,10009
Van Dam St & Greenpoint Ave,11104
Court St & Nelson St,11231
Broadway & W 37 St,10120
Adam Clayton Powell Blvd & W 130 St,10039
Riverside Dr & W 153 St,10031
Jackson Ave & 46 Rd,11101
Bushwick Ave & Harman St,11221
W Broadway & W Houston St,10012
Kosciuszko St & Tompkins Ave,11221
18 St & 27 Ave,11102
Gerard Ave & E 146 St,10451
Driggs Ave & Lorimer St,11211
Sheridan Ave & E 168 St,10456
34 Ave & 38 St,11101
Menahan St & Seneca Ave,11385
N 12 St & Bedford Ave,11211
Boerum Pl\t& Pacific St,11201
Prospect Pl & Vanderbilt Ave,11216
W 37 St & Broadway,10018
Montague St & Clinton St,11231
Monroe St & Bedford Ave,11221
Union St & 4 Ave,11215
St. Nicholas Terrace & Convent Ave,10031
Westchester Ave & Jackson Ave,10455
Riverside Dr & W 78 St,10023
N Moore St & Hudson St,10013
Melrose St & Broadway,11206
E 81 St & 3 Ave,10028
49 Ave & 21 St,11101
Lincoln Pl & Classon Ave,11238
Banker St & Meserole Ave,11222
E 106 St & 1 Ave,10029
31 Ave & 30 St,11369
3 Ave & E 169 St,10456
Cauldwell Ave & E 161 St,10456
Bruckner Blvd & Bryant Ave,10459
Broadway & Madison St,11207
Jay St & Tech Pl,11201
Melrose Ave & E 150 St,10451
Windsor Pl & 8 Ave,11215
E 188 St & Creston Ave,10458
17 St & 5 Ave,11215
30 Ave & 21 St,11102
Warren St & Court St,11201
36 Ave & 31 St,11106
Willoughby St & Fleet St,11201
Kane St & Clinton St,11231
Rockaway Ave & Bainbridge St,11236
3 Ave & E 112 St,10029
Lenox Ave & W 133 St,10030
Beaver St & Fayette St,11206
Pacific St & Nevins St,11217
Smith St & 3 St,11231
35 Ave & 10 St,11101
20 Ave & 38 St,11105
48 St & 50 Ave,11378
Featherbed Ln & Nelson Ave,10453
W 92 St & Broadway,10024
W 225 St & Exterior St,10468
7 Ave & 22 St,11215
14 St & 5 Ave,11215
11 St & 43 Ave,11101
11 Ave & Prospect Ave,11218
Leonard St & Nassau Ave,11222
Central Ave & Himrod St,11221
Yankee Ferry Terminal,10004
W 165 St & Fort Washington Ave,10032
Gerard Ave & McClellan St,10452
Union Ave & Jackson St,11211
38 St & Northern Blvd,11101
Anderson Ave & W 164 St,10452
W 18 St & 9 Ave,10011
Pleasant Ave & E 116 St,10035
E 58 St & Madison Ave,10022
36 St & Queens Blvd,11101
Whitehall St & Bridge St,10004
W 113 St & Broadway,10025
Willoughby Ave & Onderdonk Ave,11237
Willis Ave & E 137 St,10454
Creston Ave & E 178 St,10453
45 St & 4 Ave,11220
Nassau Ave & Russell St,11222
Eastern Pkwy & Troy Ave,11213
34 Ave & 48 St,11101
DeKalb Ave & S Portland Ave,11221
2 Ave & E 122 St,10035
Ditmars Blvd & 48 St,11370
24 St & 38 Ave,11101
South St & Pike St,10002
River Ter & Warren St,10282
Pike St & Monroe St,10002
7 Ave & 40 St,11232
2 Ave & E 99 St,10035
51 St & Queens Blvd,11104
Frederick Douglass Blvd & W 129 St,10027
Stanton St & Mangin St,10002
Adam Clayton Powell Blvd & W 138 St,10039
Sheridan Ave & E 172 St,10457
Windsor Pl & Howard Pl,11215
Front St & Jay St,11201
Carlton Ave & Park Ave,11205
5 Ave & 41 St,11232
Sherman Ave & E 166 St,10456
Macombs Rd & Featherbed Ln,10453
Southern Blvd & E 142 St,10454
19 St & 24 Ave,11105
Macombs Pl & W 152 St,10039
Humboldt St & Varet St,11211
E 11 St & Avenue B,10009
Green St & McGuinness Blvd,11222
21 St & 31 Dr,11106
Macon St & Nostrand Ave,11233
Old Fulton St,11201
Pearl St & York St,11201
Bushwick Ave & McKibbin St,11207
Adam Clayton Powell Blvd & W 141 St,10030
E 80 St & 2 Ave,10075
49 St & 31 Ave,11377
Morgan Ave & Maspeth Ave,11222
E Burnside Ave & Ryer Ave,10457
Tompkins Ave & Hopkins St,11216
Amsterdam Ave & W 180 St,10040
Columbia St & Lorraine St,11231
Jerome Ave & W 177 St,10453
Broadway & Ellwood St,10040
South St & Broad St,10038
46 St & 7 Ave,11220
Watts St & Greenwich St,10005
Greenwich St & Rector St,10006
10 Ave & W 215 St,10034
3 Ave & E 72 St,10035
Menahan St & Onderdonk Ave,11385
Bedford Ave & S 9 St,11249
48 St & Skillman Ave,11104
W 40 St & 7 Ave,10018
5 Ave & E 135 St,10037
Morris Ave & E 184 St,10468
23 Ave & 27 St,11105
21 Ave & Shore Blvd,11370
Avenue C & E 18 St,10009
21 St & Queens Plaza North,11101
Greenwich Ave & Charles St,10014
Central Ave & Flushing Ave,11206
E 142 St & 3 Ave,10454
E 1 St & Bowery,10003
7 Ave & 20 St,11215
W 181 St & Riverside Dr,10033
DeKalb Ave & Franklin Ave,11205
Metropolitan Ave & Stewart Ave,11415
67 St & Erik Pl,11220
E 161 St & River Ave,10451
Tinton Ave & E 165 St,10456
Bedford Ave & Montgomery St,11225
11 Ave & W 27 St,10001
1 St & 6 Ave,11215
Pleasant Ave & E 120 St,10035
Nassau Ave & Newell St,11222
W 35 St & Dyer Ave,10001
36 St & 4 Ave,11232
Longwood Ave & Southern Blvd,10455
W 133 St & 12 Ave,10115
Nevins St & Schermerhorn St,11217
37 Ave & 35 St,11101
Harrison St & Hudson St,10013
Graham Ave & Withers St,11211
Bayard St & Baxter St,10013
Myrtle Ave & Fleet Pl,11201
Duane St & Hudson St,10013
Bond St & Bergen St,11217
7 Ave & 62 St,11220
Ft. Washington Ave & W 190 St,10040
Leonard St & Church St,10013
31 St & Astoria Blvd,11101
2 Ave & 36 St,11232
40 Ave & Crescent St,11101
Broadway & W 168 St,10031
E 92 St & Park Ave,10128
White St & Moore St,11206
E 149 St & Morris Ave,10455
4 Ave & 9 St,11215
Edgecombe Ave & W 145 St,10030
Throop Ave & Myrtle Ave,11206
Southern Blvd & E 174 St,10460
19 St & 8 Ave,11215
35 St & 23 Ave,11101
E 98 St & Park Ave,10129
Nelson Ave & W 172 St,10452
Eldert St & Bushwick Ave,11207
Crescent St & 34 Ave,11106
Coffey St & Conover St,11231
Motorgate,10044
St Marks Pl & 4 Ave,11217
3 Ave & Schermerhorn St,11227
Stagg St & Morgan Ave,11206
Grand Ave & Bergen St,11238
W 45 St & 8 Ave,10036
E 174 St & Longfellow Ave,10460
29 St & 5 Ave,11232
Broadway & W 48 St,10019
20 Ave & 42 St,11105
Morningside Dr & Amsterdam Ave,10027
Parade Pl & Crooke Ave,11226
Freeman St & Reverend James A Polite Ave,10459
E 109 St & 3 Ave,10029
Leonard St & Boerum St,11222
Vernon Blvd & 41 Rd,11101
5 St & 51 Ave,11109
E 118 St & 3 Ave,10035
7 St & 3 Ave,11215
Centre St & Seneca Ave,11385
Vernon Blvd & 10 St,11106
31 St & Ditmars Blvd,11101
Broadway & W 122 St,10027
Pioneer St & Van Brunt St,11231
E 171 St & Webster Ave,10457
McKibbin St & Manhattan Ave,11206
Pierrepont St & Monroe Pl,11201
E 135 St & St Ann's Ave,10454
Railroad Ave & Kay Ave,11251
Hoyt St & Warren St,11217
William St & Pine St,10045
5 Ave & 37 St,11232
Park Ave & Marcus Garvey Blvd,11206
W 146 St & Broadway,10031
Franklin Ave & St Marks Ave,11238
E 158 St & Melrose Ave,10451
Avenue D & E 12 St,10009
Pacific St & Classon Ave,11238
24 Ave & 26 St,11105
Fulton St & Clermont Ave,11207
Calyer St & Jewel St,11222
63 St & 5 Ave,11220
W 144 St & Adam Clayton Powell Blvd,10030
Boerum St & Broadway,11206
Wyckoff Ave & Gates Ave,11385
Weeks Ave & E 175 St,10457
E 118 St & Madison Ave,10035
39 St & Queens Blvd,11101
Clinton St & 4 Place,11231
W 168th S & Fort Washington Ave,10032
Charlotte St & Boston Rd,10460
Amsterdam Ave & W 189 St,10040
Union St & Bedford Ave,11225
West End Ave & W 78 St,10024
E 138 St & Park Ave,10451
Concord St & Bridge St,11251
7 Ave & 17 St,11215
Caton Ave & Argyle Rd,11226
College Ave & E 170 St,10456
53 St & 4 Ave,11220
Jefferson St & Cypress Ave,11237
Madison St & Seneca Ave,11385
Van Brunt St & Wolcott St,11231
Riverside Dr & W 148 St,10031
21 St & 43 Ave,11101
Wales Ave & E 147 St,10455
Dyckman St & Staff St,10034
48 St & 37 Ave,11101
Myrtle Ave & Marcy Ave,11237
Central Ave & Starr Street,11237
Park Cir & East Dr,11218
10 Ave & W 207 St,10034
Irving Ave & Palmetto St,11237
Broadway & W 220 St,10034
3 Ave & 14 St,11215
12 St & 4 Ave,11215
Dwight St & Van Dyke St,11231
Van Sinderen Ave & Truxton St,11207
30 Ave & 41 St,11103
Bedford Park Blvd & Paul Ave,10468
Skillman Ave & 43 Ave,11101
Nelson Ave & 167 St,10452
Columbia St & Kane St,11231
6 Ave & 55 St,11220
E 167 St & Franklin Ave,10456
Garrison Ave & Manida St,10474
Walton Ave & E 153 St,10451
Grand Ave & W Fordham Rd,10468
MacDougal St & Rockaway Ave,11233
47 Ave & 31 St,11101
W 186 St & St. Nicholas Ave,10033
Engert Ave & McGuinness Blvd,11222
20 Ave & 21 St,11105
Prospect Park SW & 16 St,11215
Cedar St & Myrtle Ave,11221
36 Ave & 10 St,11106
University Ave & W 168 St,10452
Prospect Ave & E 167 St,10459
Ditmars Blvd & 73 St,11370
W 140 St & Riverside Dr,10031
University Ave & W Burnside Ave,10453
Prospect Ave & Vanderbilt St,11218
48 St & Broadway,11103
Stockholm St & Wilson Ave,11237
39 St & 50 Ave,11101
Aqueduct Ave & W 190 St,10468
Walton Ave & E 168 St,10452
37 St & 24 Ave,11101
31 Ave & 57 St,11369
42 Pl & Northern Blvd,11101
Peck Slip & South St,10038
21 St & 21 Ave,11106
Kosciuszko St & Nostrand Ave,11221
Broadway & W 192 St,10040
Lenox Ave & W 130 St,10027
51 St & Hobart St,11377
Mount Eden Pkwy & Eastburn Ave,10457
Broadway & W 138 St,10031
Stuyvesant Walk & 1 Av Loop,10009
Audobon Ave & W 179 St,10033
Rogers Pl & E 165 St,10459
Broadway & 12 St,11373
3 St & 3 Ave,11215
Walton Ave & E 183 St,10468
Murray St & West St,10007
46 St & 25 Ave,11103
Grand Concourse & E 175 St,10457
E 110 St & Madison Ave,10029
46 St & Queens Blvd,11104
Macon St & Lewis Ave,11233
Morris Ave & McClellan St,10457
4 Ave & Shore Road Dr,11220
10 St & 2 Ave,11215
48 Ave & 31 St,11101
E 155 St & Courtlandt Ave,10455
E 118 St & 1 Ave,10035
Westchester Ave & Southern Blvd,10472
E 165 St & Fox St,10459
Ditmars Blvd & 19 St,11105
44 St & Greenpoint Ave,11377
43 St & 23 Ave,11105
Adam Clayton Powell Blvd & W 151 St,10039
Franklin Ave & Myrtle Ave,11225
69 St & 43 Ave,11377
Grand Concourse & E 171 St,10452
W Tremont Ave & Grand Ave,10453
Vernon Blvd & Queens Plaza S,11101
Woodside Ave & Roosevelt Ave,11377
Madison St & Woodward Ave,11385
14 St & 7 Ave,11215
Amsterdam Ave & W 186 St,10033
34 St & 5 Ave,11232
Macon St & Howard Ave,11233
48 St & 2 Ave,11220
Frederick Douglass Blvd & Harlem River Dr,10039
21 St & 23 Ave,11106
W 192 St & University Ave,10468
Chauncey St & Howard Ave,11207
Jerome Ave & E Mosholu Parkway S,10468
35 St & 21 Ave,11105
Southern Blvd & Avenue St. John,10455
Bushwick Ave & Linden St,11221
10 St & 5 Ave,11215
Hancock St & Wyckoff Ave,11385
Boone Ave & E 172 St,10460
W 120 St & Claremont Ave,10027
Lexington Ave & E 127 St,10035
Wilkins Ave & Crotona Park E,10460
St. Ann's Ave & E 144 St,10454
Jerome Ave & Bedford Park Blvd E,10468
E 3 St & Church Ave,11218
Anthony Ave & E 175 St,10457
53 St & 5 Ave,11220
Loring Pl North & W 183 St,10468
Richardson St & N Henry St,11222
University Ave & Macombs Rd,10453
Harlem River Dr & W 155 St,10032
Forsyth St & Grand St,10002
Park Ave & E 162 St,10451
47 Ave & Skillman Ave,11101
6 Ave & 60 St,11220
St. Nicholas Ave & W 155 St,10040
41 St & 4 Ave,11232
Webster Ave & Ford St,10457
24 Ave & 29 St,11102
E 128 St & 3 Ave,10035
W 33 St & 7 Ave,10119
43 Ave & 42 St,11377
Cauldwell Ave & E 158 St,10456
Bushwick Ave & Forrest St,11206
Metropolitan Ave & Vandervoort Ave,11211
Grand Concourse & E 197 St,10458
Menahan St & Central Ave,11221
Front St & Gold St,11251
Schermerhorn St & Hoyt St,11217
43 St & 37 Ave,11101
Broadway & Kosciuszko St,11221
E 201 St & Briggs Ave,10458
43 St & Skillman Ave,11104
St. Nicholas Ave & W 157 St,10032
Vernon Blvd & 31 Ave,11106
24 St & 41 Ave,11101
W 129 St & Convent Ave,10027
Concourse Village West & E 156 St,10451
Jerome Ave & Ogden Ave,10039
Fort Washington Ave & W 173 St,10032
Onderdonk Ave & Gates Ave,11385
Brook Ave & E 138 St,10454
Southern Blvd & E 175 St,10460
E 141 St & St Ann's Ave,10454
Forest Ave & Summerfield St,11385
E 174 St & Walton Ave,10452
Broadway & W 153 St,10031
Madison St & Evergreen Ave,11221
Frederick Douglass Blvd & W 139 St,10030
Myrtle Ave & Linden St,11385
Central Ave & Melrose St,11206
Lincoln Ave & E 134 St,10454
Grand Concourse & E 196 St,10458
Prospect Ave & Jennings St,10460
Washington Ave & E 167 St,10456
Grand Concourse & E 192 St,10468
Henry St & Remsen St,11201
Washington Ave & E 174 St,10457
44 St & 6 Ave,11220
Suydam St & St. Nicholas Ave,11237
Frost St & Debevoise Ave,11211
Paul Ave & W 205 St,10468
Newton Rd & 44 St,11103
Prospect Park W & 20 St,11215
Flushing Ave & Woodward Ave,11385
47 Ave & 48 St,11104
W 155 St & Frederick Douglass Blvd,10039
31 St & Thomson Ave,11101
W 171 St & St. Nicholas Ave,10032
Southpoint Park,11109
16th St & 4th Ave,11215
49 St & 25 Ave,11103
Edgecombe Ave & W 150 St,10031
E 157 St & River Ave,10451
21 St & 4 Ave,11232
Prospect Pl & 6 Ave,11217
E 118 St & Park Ave,10035
55 St & 7 Ave,11220
Amsterdam Ave & W 172 St,10032
Greene Ave & Throop Ave,11221
E 20 St & FDR Drive,10010
Columbus Ave & W 103 St,10025
Tiebout Ave & E 184 St,10458
E 102 St & Park Ave,10029
Grand Concourse & E Mosholu Pkwy S,10467
Amsterdam Ave & W 156 St,10032
3 Ave & Wakeman Pl,11220
Bushwick Ave & Furman Ave,11207
Central Ave & Covert St,11207
Pioneer St & Richards St,11231
Southern Blvd & E 149 St,10458
Bronx Shore Comfort Station,10454
E 170 St & Sheridan Ave,10456
47 St & 3 Ave,11220
Broadway & W 133 St,10031
Grand Concourse & E 144 St,10451
2 Ave & 43 St,11232
Irving Ave & DeKalb Ave,11237
E 169 St & Webster Ave,10456
Washington Ave & E 163 St,10451
Willis Ave & E 141 St,10454
E 115 St & Madison Ave,10029
E 8 St & Caton Ave,11218
Seaman Ave & Isham St,10034
Jerome Ave & Anderson Ave,10452
E 138 St & Willow Ave,10454
Chauncey St & Stuyvesant Ave,11233
21 St & 38 Ave,11101
Ditmars Blvd & 79 St,11370
Caton Ave & E 10 St,11218
Sigourney St & Columbia St,11231
E 147 St & Bergen Ave,10455
Jerome Ave & E 164 St,10452
Troy Ave & Park Pl,11233
Convent Ave & W 135 St,10031
Plaza Dr & W 170 St,10452
Broadway & W 142 St,10031
Grand Concourse & E 156 St,10451
21 Ave & 80 St,11370
43 Ave & 47 St,11377
Greenwood Ave & E 4 St,11218
W 34 St & Hudson Blvd E,10199
27 Ave & 9 St,11102
Knickerbocker Ave & Cooper St,11207
Pitt St & Stanton St,10009
39 St & 47 Ave,11101
39 St & 2 Ave,11232
Morris Ave & E 142 St,10451
Irving Ave & Halsey St,11237
Sedgwick Ave & Hall of Fame Tce,10453
Jerome Ave & E 198 St,10468
E 144 St & Brook Ave,10454
Southern Blvd & Tiffany St,10459
Amsterdam Ave & W 136 St,10031
Amsterdam Ave & W 131 St,10027
Main St & Plymouth St,11201
Townsend Ave & E 175 St,10453
58 St & 32 Ave,11377
Broadway & 51 St,11373
Amsterdam Ave & W 162 St,10032
Clay Ave & Claremont Pkwy,10457
51 St & 43 Ave,11377
Steinway St & 23 Ave,11105
4 Ave & 26 St,11209
31 Pl & Hunters Point Ave,11101
W Fordham Rd & Loring Pl N,10468
W 135 St & Lenox Terrace Pl,10037
21 St & 36 Ave,11106
W 204 St & Nagle Ave,10034
10 Ave & W 204 St,10034
E 167 St & Bryant Ave,10459
36 St & 47 Ave,11101
Walton Ave & E 171 St,10452
Sterling Pl & New York Ave,11216
Sullivan Pl & Bedford Ave,11225
W 38 St & 9 Ave,10018
Montgomery St & Franklin Ave,11225
Stuyvesant Ave & Hart St,11206
Knickerbocker Ave & Halsey St,11207
Putnam Ave & Knickerbocker Ave,11237
Lewis Ave & Greene Ave,11221
3 Ave & E 172 St,10457
10 Ave & W 202 St,10034
57 St & 4 Ave,11220
Hudson St & N Moore St,10014
52 St & 6 Ave,11220
St. Ann's Av & Bruckner Blvd,10454
Broadway & Furman Ave,11207
Liberty St & Broadway,10005
Macombs Rd & W 175 St,10453
59 St & 5 Ave,11220
Valentine Ave & E 181 St,10457
Academy St & Nagle Ave,10034
Brook Ave & E 157 St,10451
Walnut Ave & E 136 St,10454
Bradhurst Ave & W 148 St,10039
50 St & Northern Blvd,11377
Amsterdam Ave & W 167 St,10032
Longfellow Ave & E 165 St,10459
Tiebout Ave & E Fordham Road,10458
E 138 St & Canal St W,10451
Bainbridge Ave & E 196 St,10458
Brook Ave & E 148 St,10455
Sumpter St & Fulton St,11207
Goulden Ave & Bedford Park Blvd W,10468
Prospect Park SW & Vanderbilt St,11218
33 St & 47 Ave,11101
Kent St & McGuinness Blvd,11222
Woodward Ave & Harman St,11385
Barry St & Tiffany St,10474
Pinehurst Ave & W 187 St,10033
43 Ave & 40 St,11104
Melrose Ave & E 154 St,10455
Ryer Ave & E 182 St,10457
Pier 40 Dock Station,10014
Jerome Ave & W 193 St,10468
Putnam Ave & Ralph Ave,11221
46 St & 30 Rd,11103
Hazen St & 20 Ave,11370
Morris Ave & E Burnside Ave,10453
Harrison Pl & Porter Ave,11237
Grand Concourse & E 203 St,10458
W Burnside Ave & University Ave,10453
Fulton Ave & E 172 St,10457
Clinton St & Centre St,11231
41 Ave & 67 St,11377
Aqueduct Ave & North St,10468
Boerum Pl	& Pacific St,11201
61 St & Queens Blvd,11377
Nostrand Ave & Myrtle Ave,11235
Knickerbocker Ave & Hancock St,11221
Amsterdam Ave & W 183 St,10033
E 153 St & E 157 St,10451
20 Ave & 48 St,11105
Steinway St & 19 Ave,11105
E Tremont Ave & Jerome Ave,10457
Ogden Ave & Merriam Ave,10452
53 St & 2 Ave,11232
W 190 St & Broadway,10040
Crotona Park East & E 173 St,10460
W Tremont Ave & Matthewson Rd,10453
E 170 St & Clay Ave,10456
Fulton Ave & St. Paul's Pl,10456
Webb Ave & W 190 St,10468
Dyckman St & Henshaw St,10034
E 138 St & Grand Concourse,10454
Church St & Worth St,10013
5 Ave & 66 St,11220
Carroll St & Washington Ave,11225
W 159 St & Edgecombe Ave,10032
Valentine Ave & E 183 St,10457
Caton Ave & E 7 St,11218
Prospect Ave & Greenwood Ave,11218
Bergen Ave & E 152 St,10455
Grand Concourse & E 205 St,10468
Thomas S. Boyland St & Macon St,11212
Seneca Ave & Irvine St,10474
65 St & 2 Ave,11220
Bay St & Court St,11231
Freeman St & Southern Blvd,10459
W 170 St & University Ave,10452
Willow Ave & E 133 St,10454
9 Ave & W 39 St,10018
W 176 St & Montgomery Ave,10453
30 St & 48 Ave,11101
Bainbridge Ave & E 198 St,10458
23 St & 3 Ave,11232
Marion Ave & Mosholu Pkwy,10458
Steinway St & Ditmars Blvd,11101
W 163 St & Edgecombe Ave,10032
E 141 St & Jackson Ave,10454
Goulden Ave & W 205 St,10468
3 Ave & Franklin Ave,10456
E 133 St & Cypress Pl,10454
Old Broadway & W 133 St,10027
Faile St & Garrison Ave,10474
Wakeman Pl & Ridge Blvd,11220
48 Ave & 41 St,11377
27 Ave & 3 St,11102
Wolcott St & Dwight St,11231
Sedgwick Ave & W Tremont Ave,10453
48 St & 5 Ave,11220
Stephen St & Seneca Ave,11385
Jerome Ave & W 184 St,10468
Waterloo Pl & Crotona Park East,10460
Alexander Ave & E 134 St,10454
Bradley Ave & Greenpoint Ave,11101
Morris Ave & E 153 St,10451
Westchester Ave & E 156 St,10455
E 169 St & Fox St,10459
Brook Ave & E 141 St,10454
Borden Ave & Review Ave,11101
76 St & 21 Ave,11370
E 149 St & Jackson Ave,10455
Henry St & W 9 St,11231
34 St & 48 Ave,11101
Riverside Dr & Broadway,10034
Knickerbocker Ave & Moffat St,11207
River Ave & McClellan St,10452
Lafayette Ave & Hunts Point Ave,10474
Prospect Ave & Longwood Ave,10455
20 Ave & 31 St,11105
New York Ave & St Marks Ave,11216
Jerome Ave & W Fordham Rd,10468
Grand Concourse & E 164 St,10452
Moffat St & Bushwick,11207
Murray St	& West St,10282
Ogden Ave & W 164 St,10452
Bailey Ave & Sedgwick Ave,10468
Morgan Loading Docks,11237
36 St & Hunters Point Ave,11101
48 St & Barnett Ave,11104
Webster Ave & E 166 St,10456
Decatur Ave & Oliver Pl,10458
44 St & 3 Ave,11232
Gerard Ave & E 164 St,10452
Dyckman St & 10 Ave,10034
Monroe St & Patchen Ave,11221
Morris Ave & E 171 St,10457
E 138 St & 5 Av,10030
W 34 St &	Hudson Blvd E,10199
50 St & 30 Ave,11377
Skillman Ave & Honeywell St,11101
Paul Ave & Mosholu Pkwy,10468
Fulton St & Pearl St,10004
20 Ave & 33 St,11105
Ft. Hamilton Pkwy & E 5 St,11218
Crotona Park North & Prospect Ave,10457
55 St & Northern Blvd,11377
Margaret Corbin Plz & Ft Washington Ave,10040
Grand Ave & W 181 St,10453
Union Ave & E 169 St,10459
Queens Blvd & 56 St,11377
Edgecombe Ave & W 167 St,10032
Woodside Ave & 55 St,11373
Pacific St & Troy Ave,11213
E 165 St & Jerome Ave,10456
31 Ave & 61 St,11369
Audubon Ave & W 192 St,10040
Cedar Ave & W Fordham Rd,10468
Bergen St & Kingston Ave,11213
Sterling Pl & Schenectady Ave,11213
30 Ave & 12 St,11102
55 St & 5 Ave,11220
Bainbridge Ave & Bedford Park Blvd,10458
Broadway & W 185 St,10033
E 85 St & East End Ave,10028
39 Ave & 54 St,11377
E 156 St & Courtlandt Ave,10455
Morris Canal,07302
Andrews Ave S & W 179 St,10453
E Mosholu Pkwy & E 204 St,10458
Carlton Ave & St Marks Ave,11238
Hamilton Pl & W 138 St,10031
Courtlandt Ave & E 157 St,10451
43 St & 50 Ave,11104
Grand Concourse & E 199 St,10458
Bailey Ave & W 193 St,10463
58 St & 2 Ave - Brooklyn Army Terminal Vaccination Site,11220
61 St & 39 Ave,11377
Sunken Meadow Comfort Station,
60 St & 37 Ave,11377
W 211 St & 10 Ave,10034
Louis Nine Blvd & Intervale Ave,10459
50 St & Barnett Ave,11104
Bergen Ave,07304
54 St & 37 Ave,11377
Audubon Ave & Fort George Ave,10040
MacDonough St & Malcolm X Blvd,11233
42 St & 1 Ave,11232
Clay Ave & E 173 St,10457
Monroe St & Marcus Garvey Blvd,11221
2 Ave & 39 St,11232
Chauncey St & Malcolm X Blvd,11233
E Mosholu Pkwy & Van Cortlandt Ave E,10458
Hunts Point Ave & Bryant Ave,10474
46 St & 6 Ave,11220
West Farms Rd & Boone Ave,10459
Hancock St & Malcolm X Blvd,11233
Eastern Pkwy & Rochester Ave,11213
Greenpoint Ave & 47 St,11377
Kingston Ave & Park Pl,11225
3 Ave & E 174 St,10457
Malcolm X Blvd & DeKalb Ave,11233
Gerard Ave & E 165 St,10452
Dawson St & Intervale Ave,10459
Bainbridge Ave & E 193 St,10458
Nassau St & Duffield St,11201
Jerome Ave & E 181 St,10468
62 St & 4 Ave,11220
64 St & 3 Ave,11220
Prospect Pl & Nostrand Ave,11216
Somers St & Broadway,11233
Halsey St & Ralph Ave,11233
40 St & Queens Blvd,11104
Andrew Ave N & Hall of Fame Tce,10468
Pacific St & Nostrand Ave,11216
2 Av & 37 St,11232
57 St & 1 Ave - Brooklyn Army Terminal Vaccination Site,11220
65 St & Broadway,11373
Vernon Blvd & 30 Rd,11106
41 St & 3 Ave,11232
Keegan Rd & 2 Ave,11220
Thomas S. Boyland St & Marion St,11212
Forsyth St	& Grand St,10002
61 St & Laurel Hill Blvd,11377
Woodside Ave & 60 St,11377
67 St & Ridge Blvd,11220
Eastern Pkwy & Kingston Ave,11213
Decatur Ave & Bedford Park Blvd,10458
Madison St & Malcolm X Blvd,11221
Skillman Ave & 54 St,11377
Southern Blvd & E 172 St,10460
E 134 St & Walnut Ave,10454
Buchanan Pl & Grand Ave,10453
E 165 St & Clay Ave,10456
57 St & 43 Ave,11377
Harborside,07311
St Marks Ave & Rochester Ave,11213
Featherbed Ln & Jerome Ave,10453
53 St & Roosevelt Ave,11377
Ralph Ave & Fulton St,11233
Albany Ave & Park Pl,11213
Van Dam St & Review Ave,11104
9 Ave & W 206 St,10034
Thomas S. Boyland St & Fulton St,11212
MacDonough St & Marcy Ave,11216
W 190 St & St. Nicholas Ave,10040
Broad St & Water St,10004
Macon St & Patchen Ave,11233
Bergen St & Troy Ave,11213
Schenectady Ave & Prospect Pl,11213
